iter	Passed	Remaining
818	9338	2063
819	9348	2052
820	9359	2040
821	9369	2028
822	9379	2017
823	9391	2005
824	9402	1994
825	9413	1983
826	9425	1971
827	9438	1960
828	9449	1949
829	9460	1937
830	9472	1926
831	9483	1914
832	9494	1903
833	9505	1891
834	9515	1880
835	9526	1868
836	9537	1857
837	9547	1845
838	9558	1834
839	9569	1822
840	9580	1811
841	9590	1799
842	9600	1788
843	9611	1776
844	9621	1764
845	9632	1753
846	9645	1742
847	9656	1730
848	9668	1719
849	9679	1708
850	9691	1696
851	9703	1685
852	9715	1674
853	9727	1663
854	9738	1651
855	9749	1640
856	9760	1628
857	9771	1617
858	9781	1605
859	9791	1593
860	9800	1582
861	9810	1570
862	9821	1559
863	9833	1547
864	9844	1536
865	9855	1525
866	9868	1513
867	9878	1502
868	9891	1491
869	9903	1479
870	9914	1468
871	9925	1457
872	9937	1445
873	9947	1434
874	9958	1422
875	9968	1411
876	9978	1399
877	9989	1388
878	10000	1376
879	10011	1365
880	10021	1353
881	10033	1342
882	10044	1330
883	10055	1319
884	10068	1308
885	10079	1296
886	10092	1285
887	10103	1274
888	10115	1262
889	10126	1251
890	10137	1240
891	10147	1228
892	10157	1217
893	10168	1205
894	10178	1194
895	10188	1182
896	10199	1171
897	10210	1159
898	10221	1148
899	10232	1136
900	10243	1125
901	10254	1114
902	10266	1102
903	10278	1091
904	10290	1080
905	10301	1068
906	10313	1057
907	10325	1046
908	10336	1034
909	10346	1023
910	10358	1011
911	10368	1000
912	10378	988
913	10389	977
914	10400	966
915	10410	954
916	10420	943
917	10432	931
918	10443	920
919	10455	909
920	10467	897
921	10478	886
922	10489	875
923	10501	863
924	10512	852
925	10523	840
926	10535	829
927	10545	818
928	10556	806
929	10567	795
930	10577	783
931	10588	772
932	10599	761
933	10610	749
934	10621	738
935	10633	727
936	10643	715
937	10655	704
938	10667	692
939	10678	681
940	10690	670
941	10702	658
942	10714	647
943	10727	636
944	10738	625
945	10750	613
946	10760	602
947	10770	590
948	10780	579
949	10791	567
950	10800	556
951	10810	545
952	10820	533
953	10831	522
954	10842	510
955	10852	499
956	10864	488
957	10876	476
958	10889	465
959	10901	454
960	10912	442
961	10923	431
962	10935	420
963	10946	408
964	10956	397
965	10967	386
966	10978	374
967	10989	363
968	11000	351
969	11010	340
970	11021	329
971	11032	317
972	11044	306
973	11056	295
974	11068	283
975	11079	272
976	11091	261
977	11101	249
978	11112	238
979	11124	227
980	11135	215
981	11146	204
982	11155	192
983	11166	181
984	11177	170
985	11188	158
986	11198	147
987	11209	136
988	11220	124
989	11233	113
990	11244	102
991	11256	90
992	11267	79
993	11279	68
994	11291	56
995	11303	45
996	11313	34
997	11324	22
998	11334	11
999	11344	0
